Resource ID(s),Unique Identifier,Item Title,Subject,Description,Ancillary Materials,Date,Date Type,Physical Format,Storage Location,Duration Physical,Condition,Contributor,Publisher,Written notes on casing,Preservation Checksum Value,Preservation Filename,Preservation File Location,Preservation Filesize,Digital QC notes,Digitization Grant,Digitization Vendor,Preservation Sample Rate,Preservation Bit Depth,Proxy Filename,Duration Digital,Identifier2,IdentifierSource2
18498,MD-221,KBOO AM news and public affairs,,"Broadcast air signal recorded by Kathleen Stephenson, AM News and Public Affairs Director",,2013-04-30,broadcast,Minidisc,KBOO Archives Room,,,,KBOO,,,,,,,,,,,,,,
18497,MD-220,KBOO AM news and public affairs,,"Broadcast air signal recorded by Kathleen Stephenson, AM News and Public Affairs Director",,2013-04-29,broadcast,Minidisc,KBOO Archives Room,,,,KBOO,,,,,,,,,,,,,,
16564,CD-2503,members of NatAllianceMen.Health on treatment,Health,,,2013-04-29,unknown,CD,KBOO Archives Room,00:57:15,,Dr. Jim Phelps,,,,,,,,,,,,,,,
18496,MD-219,KBOO AM news and public affairs,,"Broadcast air signal recorded by Kathleen Stephenson, AM News and Public Affairs Director",,2013-04-25,broadcast,Minidisc,KBOO Archives Room,,,,KBOO,,,,,,,,,,,,,,
18495,MD-218,KBOO AM news and public affairs,,"Broadcast air signal recorded by Kathleen Stephenson, AM News and Public Affairs Director",,2013-04-24,broadcast,Minidisc,KBOO Archives Room,,,,KBOO,,,,,,,,,,,,,,
18494,MD-217,KBOO AM news and public affairs,,"Broadcast air signal recorded by Kathleen Stephenson, AM News and Public Affairs Director",,2013-04-23,broadcast,Minidisc,KBOO Archives Room,,,,KBOO,,,,,,,,,,,,,,
18493,MD-216,KBOO AM news and public affairs,,"Broadcast air signal recorded by Kathleen Stephenson, AM News and Public Affairs Director",,2013-04-22,broadcast,Minidisc,KBOO Archives Room,,,,KBOO,,,,,,,,,,,,,,
16571,CD-2510,wrote BringingHomeMulligan on WWII,War/Peace,,,2013-04-19,unknown,CD,KBOO Archives Room,,,Dale Maharidge,,,,,,,,,,,,,,,
18492,MD-215,KBOO AM news and public affairs,,"Broadcast air signal recorded by Kathleen Stephenson, AM News and Public Affairs Director",,2013-04-18,broadcast,Minidisc,KBOO Archives Room,,,,KBOO,,,,,,,,,,,,,,
18491,MD-214,KBOO AM news and public affairs,,"Broadcast air signal recorded by Kathleen Stephenson, AM News and Public Affairs Director",,2013-04-17,broadcast,Minidisc,KBOO Archives Room,,,,KBOO,,,,,,,,,,,,,,
18490,MD-213,KBOO AM news and public affairs,,"Broadcast air signal recorded by Kathleen Stephenson, AM News and Public Affairs Director",,2013-04-16,broadcast,Minidisc,KBOO Archives Room,,,,KBOO,,,,,,,,,,,,,,
18489,MD-212,KBOO AM news and public affairs,,"Broadcast air signal recorded by Kathleen Stephenson, AM News and Public Affairs Director",,2013-04-15,broadcast,Minidisc,KBOO Archives Room,,,,KBOO,,,,,,,,,,,,,,
18488,MD-211,KBOO AM news and public affairs,,"Broadcast air signal recorded by Kathleen Stephenson, AM News and Public Affairs Director",,2013-04-11,broadcast,Minidisc,KBOO Archives Room,,,,KBOO,,,,,,,,,,,,,,
18487,MD-210,KBOO AM news and public affairs,,"Broadcast air signal recorded by Kathleen Stephenson, AM News and Public Affairs Director",,2013-04-10,broadcast,Minidisc,KBOO Archives Room,,,,KBOO,,,,,,,,,,,,,,
18486,MD-209,KBOO AM news and public affairs,,"Broadcast air signal recorded by Kathleen Stephenson, AM News and Public Affairs Director",,2013-04-09,broadcast,Minidisc,KBOO Archives Room,,,,KBOO,,,,,,,,,,,,,,
18485,MD-208,KBOO AM news and public affairs,,"Broadcast air signal recorded by Kathleen Stephenson, AM News and Public Affairs Director",,2013-04-08,broadcast,Minidisc,KBOO Archives Room,,,,KBOO,,,,,,,,,,,,,,
18484,MD-207,KBOO AM news and public affairs,,"Broadcast air signal recorded by Kathleen Stephenson, AM News and Public Affairs Director",,2013-04-04,broadcast,Minidisc,KBOO Archives Room,,,,KBOO,,,,,,,,,,,,,,
18483,MD-206,KBOO AM news and public affairs,,"Broadcast air signal recorded by Kathleen Stephenson, AM News and Public Affairs Director",,2013-04-03,broadcast,Minidisc,KBOO Archives Room,,,,KBOO,,,,,,,,,,,,,,
18482,MD-205,KBOO AM news and public affairs,,"Broadcast air signal recorded by Kathleen Stephenson, AM News and Public Affairs Director",,2013-04-02,broadcast,Minidisc,KBOO Archives Room,,,,KBOO,,,,,,,,,,,,,,
18481,MD-204,KBOO AM news and public affairs,,"Broadcast air signal recorded by Kathleen Stephenson, AM News and Public Affairs Director",,2013-04-01,broadcast,Minidisc,KBOO Archives Room,,,,KBOO,,,,,,,,,,,,,,
18480,MD-203,KBOO AM news and public affairs,,"Broadcast air signal recorded by Kathleen Stephenson, AM News and Public Affairs Director",,2013-03-14,broadcast,Minidisc,KBOO Archives Room,,,,KBOO,,,,,,,,,,,,,,
16572,CD-2511,HomeOrchardSociety-fruit,Agriculture,,,2013-03-13,unknown,CD,KBOO Archives Room,,,Joanie Cooper,,,,,,,,,,,,,,,
18479,MD-202,KBOO AM news and public affairs,,"Broadcast air signal recorded by Kathleen Stephenson, AM News and Public Affairs Director",,2013-03-11,broadcast,Minidisc,KBOO Archives Room,,,,KBOO,,,,,,,,,,,,,,
16574,CD-2513,of Depave on removing asphalt parking lots,"Transportation, Environment/Climate",,,2013-03-01,unknown,CD,KBOO Archives Room,00:58:00,,Eric Rosewall,,,,,,,,,,,,,,,
16573,CD-2512,new nat'l park in Congo,"Environment/Climate, Global Affairs",,,2013-03-01,unknown,CD,KBOO Archives Room,00:28:00,,Roger Peet,,,,,,,,,,,,,,,
16575,CD-2514,healthy food at CoffeeCreek women's prison,"Food, Prison, Women",,,2013-02-25,unknown,CD,KBOO Archives Room,00:28:22,,Linda Drach,,,,,,,,,,,,,,,
16577,CD-2516,weeds,Agriculture,,,2013-02-13,unknown,CD,KBOO Archives Room,00:58:00,,Mitch Bixby,,,,,,,,,,,,,,,
16578,CD-2517,photography-scenes in art museums,Arts/Culture,,,2013-01-08,unknown,CD,KBOO Archives Room,00:28:00,,Christopher Rauschenberg,,,,,,,,,,,,,,,
16476,CD-2425,on different views of blacks & whites on many issu,"Government/Politics, African American",,,2012-12-19,unknown,CD,KBOO Archives Room,,,Daniel Byrd,,,,,,,,,,,,,,,
16581,CD-2520,interview - city commissioner about to retire,Government/Politics,,,2012-12-13,unknown,CD,KBOO Archives Room,00:57:00,,Randy Leonard,,,,,,,,,,,,,,,
16576,CD-2515,"CarolynBreece, TimWessels on bees","Agriculture, Environment/Climate",,,2012-12-12,unknown,CD,KBOO Archives Room,00:58:00,,Rosanna Mattingly,,,,,,,,,,,,,,,
16563,CD-2502,suicide,Health,,,2012-12-12,unknown,CD,KBOO Archives Room,00:57:00,,Will Hall (KBOO),KBOO,,,,,,,,,,,,,,
16569,CD-2508,coal by railroad to Pacific ports,"Environment/Climate, Transportation",,,2012-12-11,unknown,CD,KBOO Archives Room,00:58:00,,Dan Sears,,,,,,,,,,,,,,,
16493,CD-2442,editor of Yes Magazine,,,,2012-12-08,unknown,CD,KBOO Archives Room,00:11:00,,Madeline Ostrander,,,,,,,,,,,,,,,
16586,CD-2525,race & education,"Education, African American",,,2012-12-07,unknown,CD,KBOO Archives Room,00:28:31,,Donna Maxey,,,,,,,,,,,,,,,
16567,CD-2506,RupaMaya(music( JeremyLin(basketball),"Global Affairs, Music, Sports",,,2012-12-07,unknown,CD,KBOO Archives Room,00:58:00,,Jorge Cham,,,,,,,,,,,,,,,
16568,CD-2507,sales tax to fund Portland schools,"Education, Economy",,,2012-12-06,unknown,CD,KBOO Archives Room,00:58:00,,Roberta Palmer,,,,,,,,,,,,,,,
16566,CD-2505,wroteTheHealthyAgingBrain,"Elders, Health",,,2012-12-03,unknown,CD,KBOO Archives Room,00:28:31,,Judith Horstmann,,,,,,,,,,,,,,,
16565,CD-2504,policy&programs for Indian healthcare,"Health, Indigenous",,,2012-12-03,unknown,CD,KBOO Archives Room,00:28:16,,Kerri Lopez,,,,,,,,,,,,,,,
16584,CD-2523,against Israeli destruction of Palestinian houses,Global Affairs,,,2012-09-28,unknown,CD,KBOO Archives Room,00:59:18,,Jeff Halper,,,,,,,,,,,,,,,
16451,CD-2400,curators on his show,Arts/Culture,,,2012-02-28,unknown,CD,KBOO Archives Room,,,Bruce Nauman,,,,,,,,,,,,,,,
16349,CD-2298,wrote novel TheSistersBrothers,Fiction,,,2012-02-23,unknown,CD,KBOO Archives Room,00:17:00,,Patrick deWitt,,,,,,,,,,,,,,,
16347,CD-2296,war on women & reproductive rights,"Women, Health",,,2012-02-20,unknown,CD,KBOO Archives Room,01:00:00,,David Greenberg,,,,,,,,,,,,,,,
16348,CD-2297,wrote TheMilitaryIndustrialComplexAt 50,"War/Peace, Corporations",,,2012-02-17,unknown,CD,KBOO Archives Room,00:33:14,,David Swanson,,,,,,,,,,,,,,,
16463,CD-2412,"wroteLocalDollars, LocalSense",Economy,,,2012-02-13,unknown,CD,KBOO Archives Room,,,Michael Shuman,,,,,,,,,,,,,,,
16466,CD-2415,TheUnfinishedRevolution:ComingOfAge-GenderWorkFami,Women,,,2012-02-06,unknown,CD,KBOO Archives Room,,,Kathleen Gerson,,,,,,,,,,,,,,,
16350,CD-2299,on traditional childbearing,"Women, Health, Family",,,2012-02-03,unknown,CD,KBOO Archives Room,00:17:30,,Shafia Monroe,,,,,,,,,,,,,,,
16462,CD-2411,wrote TheGirlWhoFellFromTheSky,Fiction,,,2012-02-02,unknown,CD,KBOO Archives Room,00:30:00,,Heidi Durrow,,,,,,,,,,,,,,,
16454,CD-2403,wroteWhatEveryEnvironmentalistNeedsToKnowAboutEcon,"Environment/Climate, Economy",,,2012-02-02,unknown,CD,KBOO Archives Room,,,Fred Magdoff,,,,,,,,,,,,,,,
16467,CD-2416,bring war dollars home,"Economy, War/Peace",,,2012-02-01,unknown,CD,KBOO Archives Room,00:19:28,,Curtis Bell,,,,,,,,,,,,,,,
16486,CD-2435,of Common Cause on money & politics,"Government/Politics, Corporations",,,2012-01-30,unknown,CD,KBOO Archives Room,,,Janice Thompson,,,,,,,,,,,,,,,
16485,CD-2434,"grief.dying, children","Recovery, Music",,,2012-01-27,unknown,CD,KBOO Archives Room,,,Lincoln Crockett,,,,,,,,,,,,,,,
16456,CD-2405,wrote TheMagicianKing,Fiction,,,2012-01-26,unknown,CD,KBOO Archives Room,,,Lev Grossman,,,,,,,,,,,,,,,
16473,CD-2422,wrote Debt:The First 5000 Years,Economy,,,2012-01-24,unknown,CD,KBOO Archives Room,,,David Graeber,,,,,,,,,,,,,,,
16472,CD-2421,on forgiving student loans,"Economy, Education",,,2012-01-23,unknown,CD,KBOO Archives Room,,,Robert Applebaum,,,,,,,,,,,,,,,
16499,CD-2448,wrote article 'TheOther One Percent',War/Peace,,,2012-01-20,unknown,CD,KBOO Archives Room,,,Mark Thompson,,,,,,,,,,,,,,,
16474,CD-2423,PityTheBillionaire-on swindles &resurgence of the,Economy,,,2012-01-20,unknown,CD,KBOO Archives Room,,,Thomas Frank,,,,,,,,,,,,,,,
16453,CD-2402,Arlo Sone on movement building,Government/Politics,,,2012-01-20,unknown,CD,KBOO Archives Room,,,Nora Callahan,,,,,,,,,,,,,,,
16538,CD-2480,GarethPorterOnIranNuke Accusation,Government/Politics,,,2012-01-19,unknown,CD,KBOO Archives Room,00:58:00,,Hillary Clinton,,,,,,,,,,,,,,,
16479,CD-2428,wrote novel TheEveningHour,Fiction,,,2012-01-19,unknown,CD,KBOO Archives Room,,,Carter Sickels,,,,,,,,,,,,,,,
16470,CD-2419,camp in downtown Portland:Right 2 Dream Too,Housing/Homelessness,,,2012-01-18,unknown,CD,KBOO Archives Room,,,,,,,,,,,,,,,,,,
16482,CD-2431,CD-2431 title,Global Affairs,Kashmir,,2012-01-17,unknown,CD,KBOO Archives Room,00:56:00,,Mohamad Junaid,,,,,,,,,,,,,,,
16477,CD-2426,on the Occupy movement,Government/Politics,,,2012-01-13,unknown,CD,KBOO Archives Room,,,Arun Gupta,,,,,,,,,,,,,,,
16478,CD-2427,Jim Gilbert tree pruning,Agriculture,,,2012-01-11,unknown,CD,KBOO Archives Room,,,Glen Andresen (KBOO),KBOO,,,,,,,,,,,,,,
16494,CD-2443,ItTakesAVillage. Runs Urban Bridges Studio for opp,Youth,,,2012-01-09,unknown,CD,KBOO Archives Room,00:29:02,,Patricia Feathers,,,,,,,,,,,,,,,
16475,CD-2424,on mortgage foreclosures,Economy,,,2012-01-09,unknown,CD,KBOO Archives Room,,,Angela Martin,,,,,,,,,,,,,,,
16502,CD-2451,Black Book Talk: Best Black Books of 2011,"Fiction, African American",,,2012-01-05,unknown,CD,KBOO Archives Room,,,,KBOO,,,,,,,,,,,,,,
16496,CD-2445,wrote novel On Canaan's Side,Fiction,,,2012-01-05,unknown,CD,KBOO Archives Room,00:27:01,,Sebastian Barry,,,,,,,,,,,,,,,
16471,CD-2420,2011 in review,Government/Politics,,,2012-01-05,unknown,CD,KBOO Archives Room,,,Michael Ruppert,,,,,,,,,,,,,,,
16458,CD-2407,CD-2407 title,"Economy, Corporations",Wall Street or the Common Good,,2012-01-03,unknown,CD,KBOO Archives Room,00:57:00,,David Korten,,,,,,,,,,,,,,,
16517,CD-2461,wrote TheVegetarianMyth,"Health, Food, Women",,,2012-01-01,unknown,CD,KBOO Archives Room,00:28:00,,Lierre Kieth,,,,,,,,,,,,,,,
16495,CD-2444,CD-2444 title,Health,wrote '21-Day Weight Loss Kickstart',,2011-12-30,unknown,CD,KBOO Archives Room,00:57:22,,Neal Barnard,,,,,,,,,,,,,,,
16539,CD-2481,review of 2011,Government/Politics,,,2011-12-29,unknown,CD,KBOO Archives Room,00:30:00,,Theresa Mitchell,,,,,,,,,,,,,,,
16492,CD-2441,Where Have All The Jobs Gone?,"Labor, Economy, Global Affairs",,,2011-12-26,unknown,CD,KBOO Archives Room,,,James Otto,,,,,,,,,,,,,,,
16457,CD-2406,on Arab Spring,Global Affairs,,,2011-12-23,unknown,CD,KBOO Archives Room,00:57:30,,Rami Khouri,,,,,,,,,,,,,,,
16497,CD-2446,wrote story 'Charlie Without Violins',Fiction,,,2011-12-22,unknown,CD,KBOO Archives Room,00:35:25,,Olivia Olivia,,,,,,,,,,,,,,,
16346,CD-2295,on Farm Bill 2012,"Food, Agriculture, Government/Politics",,,2011-12-21,unknown,CD,KBOO Archives Room,00:59:00,,Tom Laskawy,,,,,,,,,,,,,,,
16465,CD-2414,CD-2414 title,"Global Affairs, Government/Politics",WithTheMaoistsInIndia,,2011-12-20,unknown,CD,KBOO Archives Room,00:56:00,,Arundhati Roy,,,,,,,,,,,,,,,
16459,CD-2408,Oregon's Health System Transformation Team,Health,,,2011-12-19,unknown,CD,KBOO Archives Room,,,Vern Saboe,,,,,,,,,,,,,,,
16452,CD-2401,Marvin's visit to Vietnam,"War/Peace, Global Affairs",,,2011-12-16,unknown,CD,KBOO Archives Room,,,Marvin Simmons (KBOO),KBOO,,,,,,,,,,,,,,
16490,CD-2439,winners of the Sledgehammer writing contest,Fiction,,,2011-12-15,unknown,CD,KBOO Archives Room,,,,,,,,,,,,,,,,,,
16488,CD-2437,wrote Blood&Oil,"War/Peace, Economy",,,2011-12-15,unknown,CD,KBOO Archives Room,,,Michael Klare,,,,,,,,,,,,,,,
16455,CD-2404,"fruit trees, winter harvesting",Agriculture,,,2011-12-14,unknown,CD,KBOO Archives Room,,,Glen Andresen (KBOO),KBOO,,,,,,,,,,,,,,
16481,CD-2430,CD-2430 title,,TowardAHealthySociety,,2011-12-13,unknown,CD,KBOO Archives Room,00:56:00,,Stephen Bezruchka,,,,,,,,,,,,,,,
16489,CD-2438,wrote'TakeOurChildren' on Occupy Wall Street,Government/Politics,,,2011-12-12,unknown,CD,KBOO Archives Room,,,Steve Fraser,,,,,,,,,,,,,,,
16460,CD-2409,A Tribute To Good Health,Health,,,2011-12-12,unknown,CD,KBOO Archives Room,00:27:30,,David Meade,,,,,,,,,,,,,,,
16468,CD-2417,on the Arab Spring,Global Affairs,,,2011-12-09,unknown,CD,KBOO Archives Room,,,Nada Alwadi,,,,,,,,,,,,,,,
16480,CD-2429,LewFrederick on gentrification in Portland,"Environment/Climate, Arts/Culture, Economy",,,2011-12-07,unknown,CD,KBOO Archives Room,00:52:11,,Clifford Walker,,,,,,,,,,,,,,,
16501,CD-2450,"For Future Generations' tour. John Trudell is a Santee Sioux poet, musician and activist for Native American rights and freedoms. Trudell performs in his traditional spoken word style accompanied by an indigenous traditional drum and song, preindustrial strength rock band - Rand and Roll with an Attitude.","Indigenous, Poetry",,,2011-12-05,unknown,CD,KBOO Archives Room,00:58:19,,John Trudell,,,,,,,,,,,,,,,
16491,CD-2440,wrote op-ed; got fired,"Civil Liberties, Media",,,2011-12-05,unknown,CD,KBOO Archives Room,,,,,,,,,,,,,,,,,,
16321,CD-2270,"on the late Rob Ingram, activist against youth vio",Youth,,,2011-12-02,unknown,CD,KBOO Archives Room,,,Hank Stern,,,,,,,,,,,,,,,
16320,CD-2269,wroteTheUSOfFear,Government/Politics,,,2011-12-01,unknown,CD,KBOO Archives Room,,,Tom Engelhardt,,,,,,,,,,,,,,,
16043,CD-1992,hip hop group on youth of color,"Music, Youth",,,2011-12-01,unknown,CD,KBOO Archives Room,,,Rose Bent,,,,,,,,,,,,,,,
16327,CD-2276,CD-2276 title,War/Peace,World In Crisis,,2011-11-29,unknown,CD,KBOO Archives Room,01:52:00,,Tariq Ali,,,,,,,,,,,,,,,
16319,CD-2268,editor of TheNation. wroteTheChangeIBelieveIn,Government/Politics,,,2011-11-29,unknown,CD,KBOO Archives Room,,,Katrina van den Heuvel,,,,,,,,,,,,,,,
16328,CD-2277,CD-2277 title,"Energy/Natural Resources, Corporations, Indigenous",uranium mining & the Navajo,,2011-11-28,unknown,CD,KBOO Archives Room,00:56:00,,Perry Charley,,,,,,,,,,,,,,,
16326,CD-2275,RonSteiner on death penalty in Ore.,"Law/Courts/Crime, Prison",,,2011-11-28,unknown,CD,KBOO Archives Room,,,Jeff Ellis,,,,,,,,,,,,,,,
16330,CD-2279,Atownsend&MikeWythe on Occupy Portland,Economy,,,2011-11-25,unknown,CD,KBOO Archives Room,,,Barbara Dudley,,,,,,,,,,,,,,,
16332,CD-2281,hosts talkradio,Indigenous,,,2011-11-24,unknown,CD,KBOO Archives Room,,,Red Willow,,,,,,,,,,,,,,,
16331,CD-2280,Occupy Portland,"Economy, Government/Politics",,,2011-11-24,unknown,CD,KBOO Archives Room,,,,,,,,,,,,,,,,,,
16461,CD-2410,CD-2410 title,Government/Politics,on the failure of the SuperCommittee,,2011-11-23,unknown,CD,KBOO Archives Room,,,Thomas Ferguson,,,,,,,,,,,,,,,
16333,CD-2282,CD-2282 title,Government/Politics,failure of the Super committee,,2011-11-23,unknown,CD,KBOO Archives Room,,,Tom Ferguson,,,,,,,,,,,,,,,
16324,CD-2273,CD-2273 title,"Government/Politics, Women",on Code Pink,,2011-11-22,unknown,CD,KBOO Archives Room,00:56:00,,Jodie Evans,,,,,,,,,,,,,,,
16334,CD-2283,on the US constitution,Government/Politics,,,2011-11-21,unknown,CD,KBOO Archives Room,,,Christopher Phillips,,,,,,,,,,,,,,,
16336,CD-2285,wroteHidden Treasure-UncoveringTheTruthInYourLifeS,Faith/Religion/Spirituality,,,2011-11-17,unknown,CD,KBOO Archives Room,00:25:26,,Gangaji,,,,,,,,,,,,,,,
16335,CD-2284,Occupy Portland - Steel Bridge,"Economy, Government/Politics",,,2011-11-17,unknown,CD,KBOO Archives Room,,,,,,,,,,,,,,,,,,
16343,CD-2292,The Food Show,Food,,,2011-11-16,unknown,CD,KBOO Archives Room,00:58:00,,,KBOO,,,,,,,,,,,,,,
16345,CD-2294,unknown title,Arts/Culture,,,2011-11-15,unknown,CD,KBOO Archives Room,,,Laurie Danial,,,,,,,,,,,,,,,
16341,CD-2290,health care in Cuba,Health,,,2011-11-14,unknown,CD,KBOO Archives Room,,,Jerome Stephens,,,,,,,,,,,,,,,
16484,CD-2433,CD-2433 title,Government/Politics,Obama's Sword: JOSC,,2011-11-10,unknown,CD,KBOO Archives Room,,,William Arkin,,,,,,,,,,,,,,,
16342,CD-2291,wrote Come Thief,Poetry,,,2011-11-10,unknown,CD,KBOO Archives Room,,,Jane Hirshfield,,,,,,,,,,,,,,,
16339,CD-2288,CD-2288 title,Corporations,We The People-corps. Vs. local self-determination,,2011-11-09,unknown,CD,KBOO Archives Room,00:56:00,,Paul Cienfuegos,,,,,,,,,,,,,,,
16337,CD-2286,"fall fruits-persimmons, bees leaves",Agriculture,,,2011-11-09,unknown,CD,KBOO Archives Room,,,Jim Gilbert,,,,,,,,,,,,,,,
16323,CD-2272,CD-2272 title,Economy,Capitalism Hits The Fan,,2011-11-08,unknown,CD,KBOO Archives Room,00:56:00,,Richard Wolff,,,,,,,,,,,,,,,
16265,CD-2214,wroteTheBattleForSocialSecurity. Gmargolis,"Health, Elders",,,2011-11-07,unknown,CD,KBOO Archives Room,,,Nancy Altman,,,,,,,,,,,,,,,
16267,CD-2216,ofVoicesForCreativeNon-violence,War/Peace,,,2011-11-03,unknown,CD,KBOO Archives Room,,,Brian Terrell,,,,,,,,,,,,,,,
16266,CD-2215,EastTimor/Henry Kissinger,"War/Peace, Global Affairs",,,2011-11-03,unknown,CD,KBOO Archives Room,00:30:00,,John Miller,,,,,,,,,,,,,,,
16272,CD-2221,CD-2221 title,Corporations,Wall Street Or The Common Good?,,2011-11-01,unknown,CD,KBOO Archives Room,00:56:00,,David Korten,,,,,,,,,,,,,,,
16325,CD-2274,CD-2274 title,Sexuality,co-wrote SexAtDawn-origins of modern sexuality,,2011-10-31,unknown,CD,KBOO Archives Room,00:57:18,,Christopher Ryan,,,,,,,,,,,,,,,
16268,CD-2217,on anti-draft conseling in Portland schools,"War/Peace, Youth",,,2011-10-31,unknown,CD,KBOO Archives Room,,,John Grueschow,,,,,,,,,,,,,,,
16376,CD-2325,poetry collection 'All You Have Given',"Poetry, War/Peace",,,2011-10-28,unknown,CD,KBOO Archives Room,,,Don Blackburn,,,,,,,,,,,,,,,
16375,CD-2324,unknown title,Arts/Culture,,,2011-10-28,unknown,CD,KBOO Archives Room,,,Ryan Bubnis,,,,,,,,,,,,,,,
16374,CD-2323,Bank Of America and derivatives,Corporations,,,2011-10-27,unknown,CD,KBOO Archives Room,,,William Black,,,,,,,,,,,,,,,
16373,CD-2322,founder of J Street wrote ANewVoiceForIsrael,"Faith/Religion/Spirituality, Global Affairs",,,2011-10-26,unknown,CD,KBOO Archives Room,00:29:00,,Jeremy Ben-Ami,,,,,,,,,,,,,,,
16372,CD-2321,local food,Agriculture,,,2011-10-25,unknown,CD,KBOO Archives Room,,,Joel Salatin,,,,,,,,,,,,,,,
16367,CD-2316,wrote Oligarchy. Political economist,Government/Politics,,,2011-10-24,unknown,CD,KBOO Archives Room,,,Jeffrey Winters,,,,,,,,,,,,,,,
16368,CD-2317,wrote TheEndOfGrowth,Economy,,,2011-10-20,unknown,CD,KBOO Archives Room,,,Richard Heinberg,,,,,,,,,,,,,,,
16274,CD-2223,interview,Arts/Culture,,,2011-10-19,unknown,CD,KBOO Archives Room,,,Esther Podemski,,,,,,,,,,,,,,,
16369,CD-2318,wrote TropicOfChaos-ClimateChangeCausesUnrest,"Environment/Climate, Law/Courts/Crime",,,2011-10-17,unknown,CD,KBOO Archives Room,,,Christian Parenti,,,,,,,,,,,,,,,
16415,CD-2364,wroteTheAuthenticityHoax,Faith/Religion/Spirituality,,,2011-10-10,unknown,CD,KBOO Archives Room,,,Andrew Potter,,,,,,,,,,,,,,,
16416,CD-2365,wroteTrueWealth on sustainable economy,Economy,,,2011-10-07,unknown,CD,KBOO Archives Room,,,Juliet Schorr,,,,,,,,,,,,,,,
16203,CD-2152,wrote'True Wealth' on a more sound economy,Economy,,,2011-10-07,unknown,CD,KBOO Archives Room,,,Juliet Schorr,,,,,,,,,,,,,,,
16213,CD-2162,PeterPhillips of Project Censored,Media,,,2011-10-06,unknown,CD,KBOO Archives Room,,,Mickey Huff,,,,,,,,,,,,,,,
16338,CD-2287,Iraqi refugees:WhatWeCarried-photo show,"Immigration, Arts/Culture",,,2011-10-04,unknown,CD,KBOO Archives Room,,,Jim Lammasson,,,,,,,,,,,,,,,
16202,CD-2151,CD-2151 title,Indigenous,"wroteForTheWorldToLive, ColumbusMustDie",,2011-10-04,unknown,CD,KBOO Archives Room,00:57:00,,Russell Means,,,,,,,,,,,,,,,
16297,CD-2246,on electroshock,Health,,,2011-10-03,unknown,CD,KBOO Archives Room,,,Linda Andre,,,,,,,,,,,,,,,
16212,CD-2161,economist on failure of Solyndra photovoltaic manu,Energy/Natural Resources,,,2011-10-03,unknown,CD,KBOO Archives Room,,,Laurie Johnson,,,,,,,,,,,,,,,
